Comment,Designator,Footprint,LCSC Part Number
2812 LED,"D1,D2,D3,D4,D5,D6,D7,D8",LED-4_5050,C114586
4.7k ohm,R1,603,C23162
22uF Tant,C9,CASE-B_3528,C110051
AMS1117-5.0,U2,SOT-223,C6187
.1 uF ,"C1,C2,C3,C4,C5,C6,C7,C8",603,C14663
